method,n,valid_rate,mean_task_score,mean_cost_price,mean_exec_time_ms,mean_qop,mean_reward
qwen_baseline,4,1.0,0.5785800069570541,0.048275424492174285,703.868335776031,0.24671438420835679,0.19476545765483683
qwen_online_grpo,4,1.0,0.5698575675487518,0.017129242811613387,101.0877647548914,0.26982196435217126,0.26625538589308007
catp_llm_offline,4,0.0,-2.0,2.0,0.0,-2.0,-1.0
