policy,condition,seed,task_idx,category,n_available_tools,n_required_tools,n_tool_calls,required_tool_recall,required_tool_hit,all_required_tools_hit,mean_latency_ms,total_latency_ms,timeout_rate,timeout_events,proxy_utility
qwen_latency,degraded_2x,1,4,Single-Tool,5,5,3,0.6,1.0,0.0,1383.782545969556,4151.347637908668,0.0,0,0.47545957086273993
qwen_latency,degraded_2x,1,5,Single-Tool,6,3,3,1.0,1.0,1.0,256.05986695334127,768.1796008600238,0.0,0,0.9769546119741993
qwen_latency,degraded_2x,1,6,Single-Tool,7,2,2,1.0,1.0,1.0,401.58625790934195,803.1725158186839,0.0,0,0.9759048245254395
qwen_latency,degraded_2x,1,7,Single-Tool,4,2,3,0.5,1.0,0.0,1838.7710436474108,5516.313130942232,0.0,0,0.334510606071733
qwen_latency,degraded_2x,1,8,Single-Tool,3,2,2,1.0,1.0,1.0,864.2105585734121,1728.4211171468241,0.0,0,0.9481473664855953
qwen_latency,degraded_2x,1,9,Single-Tool,10,3,4,1.0,1.0,1.0,531.5232877959961,2126.0931511839844,0.0,0,0.9362172054644805
qwen_latency,degraded_2x,1,10,Single-Tool,5,2,3,1.0,1.0,1.0,1148.8574034506548,3446.5722103519647,0.0,0,0.896602833689441
qwen_latency,degraded_2x,1,11,Single-Tool,7,2,2,0.5,1.0,0.0,939.8012302932782,1879.6024605865564,0.0,0,0.4436119261824033
qwen_latency,degraded_2x,1,12,Single-Tool,9,6,6,0.6666666666666666,1.0,0.0,640.6963718622529,3844.1782311735174,0.0,0,0.5513413197314612
qwen_latency,degraded_2x,1,13,Single-Tool,4,2,3,1.0,1.0,1.0,1042.161732545047,3126.485197635141,0.0,0,0.9062054440709457
qwen_latency,degraded_2x,1,14,Single-Tool,5,1,1,1.0,1.0,1.0,219.37391272748016,219.37391272748016,0.0,0,0.9934187826181756
qwen_latency,degraded_2x,1,15,Single-Tool,4,4,3,0.75,1.0,0.0,409.81883430484294,1229.4565029145288,0.0,0,0.7131163049125642
qwen_latency,degraded_2x,1,16,Single-Tool,5,1,1,1.0,1.0,1.0,637.4584085117641,637.4584085117641,0.0,0,0.9808762477446471
qwen_latency,degraded_2x,1,17,Single-Tool,5,3,2,0.6666666666666666,1.0,0.0,264.68562073395645,529.3712414679129,0.0,0,0.6507855294226292
qwen_latency,degraded_2x,1,18,Single-Tool,7,2,2,1.0,1.0,1.0,380.3954835311624,760.7909670623249,0.0,0,0.9771762709881302
qwen_latency,degraded_2x,1,19,Single-Tool,5,5,4,0.8,1.0,0.0,1108.7694826586282,4435.077930634513,0.0,0,0.6669476620809647
qwen_latency,degraded_2x,1,20,Single-Tool,5,3,3,1.0,1.0,1.0,1324.20066606097,3972.60199818291,0.0,0,0.8808219400545128
qwen_latency,degraded_2x,1,21,Single-Tool,3,1,1,1.0,1.0,1.0,930.6385366033393,930.6385366033393,0.0,0,0.9720808439018999
qwen_latency,degraded_2x,1,22,Single-Tool,4,3,2,0.6666666666666666,1.0,0.0,378.50844139204327,757.0168827840865,0.0,0,0.643956160183144
qwen_latency,degraded_2x,1,23,Single-Tool,4,1,3,1.0,1.0,1.0,1519.332002239172,4557.996006717516,0.0,0,0.8632601197984745
qwen_latency,degraded_2x,1,24,Single-Tool,6,2,2,1.0,1.0,1.0,1074.2691465370526,2148.5382930741052,0.0,0,0.9355438512077768
qwen_latency,degraded_2x,1,25,Single-Tool,7,5,4,0.6,1.0,0.0,698.6214910017142,2794.4859640068566,0.0,0,0.5161654210797942
