method,step,value
catp_llm_train_loss,17.0,1.332971
catp_llm_train_loss,18.0,1.356313
catp_llm_train_loss,19.0,1.212648
catp_llm_train_loss,20.0,1.207332
catp_llm_train_loss,21.0,1.284239
catp_llm_train_loss,22.0,5.113391
catp_llm_train_loss,23.0,1.255912
catp_llm_train_loss,24.0,1.228301
catp_llm_train_loss,25.0,1.263136
catp_llm_train_loss,26.0,1.366956
catp_llm_train_loss,27.0,1.390177
catp_llm_train_loss,28.0,1.524612
catp_llm_train_loss,29.0,1.518628
catp_llm_train_loss,30.0,1.504325
catp_llm_train_loss,31.0,1.490204
catp_llm_train_loss,32.0,1.441297
catp_llm_train_loss,33.0,1.347921
catp_llm_train_loss,34.0,1.282009
catp_llm_train_loss,35.0,1.259345
catp_llm_train_loss,36.0,1.303069
catp_llm_train_loss,37.0,1.286824
catp_llm_train_loss,38.0,1.266589
catp_llm_train_loss,39.0,1.292645
catp_llm_train_loss,40.0,1.278479
catp_llm_train_loss,41.0,1.328896
catp_llm_train_loss,42.0,1.331485
catp_llm_train_loss,43.0,0.968548
catp_llm_train_loss,44.0,1.196365
catp_llm_train_loss,45.0,1.299158
catp_llm_train_loss,46.0,1.33729
catp_llm_train_loss,47.0,1.368726
catp_llm_train_loss,48.0,1.40456
catp_llm_train_loss,49.0,1.4748
catp_llm_train_loss,50.0,1.47817
catp_llm_train_loss,51.0,1.220019
catp_llm_train_loss,52.0,1.303667
catp_llm_train_loss,53.0,1.324742
catp_llm_train_loss,54.0,1.367573
catp_llm_train_loss,55.0,1.354145
catp_llm_train_loss,56.0,1.402083
catp_llm_train_loss,57.0,1.423837
catp_llm_train_loss,58.0,1.276812
catp_llm_train_loss,59.0,1.272496
catp_llm_train_loss,60.0,1.309752
catp_llm_train_loss,61.0,1.163329
catp_llm_train_loss,62.0,1.238468
catp_llm_train_loss,63.0,1.245598
catp_llm_train_loss,64.0,1.297329
catp_llm_train_loss,65.0,1.356119
catp_llm_train_loss,66.0,1.435458
catp_llm_train_loss,67.0,1.457089
catp_llm_train_loss,68.0,1.204415
catp_llm_train_loss,69.0,1.194838
catp_llm_train_loss,70.0,1.227097
catp_llm_train_loss,71.0,1.299044
catp_llm_train_loss,72.0,1.32211
catp_llm_train_loss,73.0,1.368122
catp_llm_train_loss,74.0,1.389014
catp_llm_train_loss,75.0,1.229946
catp_llm_train_loss,76.0,1.240001
catp_llm_train_loss,77.0,1.268871
catp_llm_train_loss,78.0,1.095765
catp_llm_train_loss,79.0,1.153858
catp_llm_train_loss,80.0,1.198294
catp_llm_train_loss,81.0,1.296113
catp_llm_train_loss,82.0,1.319716
catp_llm_train_loss,83.0,1.416711
catp_llm_train_loss,84.0,1.436374
catp_llm_train_loss,85.0,1.452339
catp_llm_train_loss,86.0,1.369403
catp_llm_train_loss,87.0,1.344754
catp_llm_train_loss,88.0,1.28323
catp_llm_train_loss,89.0,1.171006
catp_llm_train_loss,90.0,0.838266
catp_llm_train_loss,91.0,0.831757
catp_llm_train_loss,92.0,5.197583
catp_llm_train_loss,93.0,1.215981
catp_llm_train_loss,94.0,1.218396
catp_llm_train_loss,95.0,1.260351
catp_llm_train_loss,96.0,1.201923
catp_llm_train_loss,97.0,1.217668
