policy,w_latency,seed,expected_reward,normalized_score,success_prob,latency_s,timeout_prob
random,0.0,1,0.4895464393539334,0.0,0.594412120282597,1.2744869698788976,0.10486568092866361
latency_greedy,0.0,1,0.3054423615400844,-1.1322697395799077,0.4487494404535776,0.9619313496143533,0.14330707891349326
quality_greedy,0.0,1,0.6514995888089725,0.9960379614351429,0.7339368143443794,1.4147305759814748,0.08243722553540692
reliability_greedy,0.0,1,0.6281264843258066,0.8522896032206817,0.69057768551682,1.482919995015646,0.06245120119101329
oracle,0.0,1,0.6521438058455565,1.0,0.7340139159818186,1.4223035476630899,0.081870110136262
qwen_zeroshot,0.0,1,0.41048618258164593,-0.48623331655473373,0.5289251116593798,1.1913697325529322,0.11843892907773387
grpo_rl,0.0,1,0.6514995888089725,0.9960379614351429,0.7339368143443794,1.4147305759814748,0.08243722553540692
random,0.0,2,0.46388814606363454,0.0,0.5913884195984218,1.2685367128810068,0.12750027353478732
latency_greedy,0.0,2,0.34213065371241225,-0.5679747078975101,0.536293951115179,0.9645489001864738,0.1941632974027668
quality_greedy,0.0,2,0.6782594739735266,1.0,0.7408651806299836,1.6013040191565664,0.06260570665645689
reliability_greedy,0.0,2,0.662173381640708,0.9249615492442156,0.7124207491559243,1.6539001381517142,0.050247367515216315
oracle,0.0,2,0.6782594739735266,1.0,0.7408651806299836,1.6013040191565664,0.06260570665645689
qwen_zeroshot,0.0,2,0.4609835794696221,-0.013549230777883416,0.6100779597951864,1.1594752384058988,0.14909438032556438
grpo_rl,0.0,2,0.6782594739735266,1.0,0.7408651806299836,1.6013040191565664,0.06260570665645689
random,0.1,1,0.3620977423660437,0.0,0.594412120282597,1.2744869698788976,0.10486568092866361
latency_greedy,0.1,1,0.20924922657864903,-1.0332574002736923,0.4487494404535776,0.9619313496143533,0.14330707891349326
quality_greedy,0.1,1,0.510026531210825,1.0,0.7339368143443794,1.4147305759814748,0.08243722553540692
reliability_greedy,0.1,1,0.479834484824242,0.7959014832585233,0.69057768551682,1.482919995015646,0.06245120119101329
oracle,0.1,1,0.510026531210825,1.0,0.7339368143443794,1.4147305759814748,0.08243722553540692
qwen_zeroshot,0.1,1,0.2913492093263527,-0.4782607468917088,0.5289251116593798,1.1913697325529322,0.11843892907773387
grpo_rl,0.1,1,0.5097138560638256,0.9978863130737352,0.7336313835085189,1.4139962929386964,0.08251789815082361
random,0.1,2,0.33703447477553383,0.0,0.5913884195984218,1.2685367128810068,0.12750027353478732
latency_greedy,0.1,2,0.24567576369376487,-0.5044805999338339,0.536293951115179,0.9645489001864738,0.1941632974027668
quality_greedy,0.1,2,0.51812907205787,1.0,0.7408651806299836,1.6013040191565664,0.06260570665645689
reliability_greedy,0.1,2,0.49678336782553656,0.8821295358742575,0.7124207491559243,1.6539001381517142,0.050247367515216315
oracle,0.1,2,0.51812907205787,1.0,0.7408651806299836,1.6013040191565664,0.06260570665645689
qwen_zeroshot,0.1,2,0.34503605562903217,0.044184536554800945,0.6100779597951864,1.1594752384058988,0.14909438032556438
grpo_rl,0.1,2,0.5163620855553683,0.9902427431352533,0.7354737939344497,1.5599702514664722,0.0631146832324341
random,0.2,1,0.2346490453781539,0.0,0.594412120282597,1.2744869698788976,0.10486568092866361
latency_greedy,0.2,1,0.11305609161721371,-0.9080577495762813,0.4487494404535776,0.9619313496143533,0.14330707891349326
quality_greedy,0.2,1,0.36855347361267754,1.0,0.7339368143443794,1.4147305759814748,0.08243722553540692
reliability_greedy,0.2,1,0.3315424853226774,0.7236014612961256,0.69057768551682,1.482919995015646,0.06245120119101329
oracle,0.2,1,0.36855347361267754,1.0,0.7339368143443794,1.4147305759814748,0.08243722553540692
qwen_zeroshot,0.2,1,0.17221223607105957,-0.4662788985420326,0.5289251116593798,1.1913697325529322,0.11843892907773387
grpo_rl,0.2,1,0.36855347361267754,1.0,0.7339368143443794,1.4147305759814748,0.08243722553540692
random,0.2,2,0.2101808034874332,0.0,0.5913884195984218,1.2685367128810068,0.12750027353478732
latency_greedy,0.2,2,0.1492208736751175,-0.4059009317086079,0.536293951115179,0.9645489001864738,0.1941632974027668
quality_greedy,0.2,2,0.35799867014221337,0.9842434199494825,0.7408651806299836,1.6013040191565664,0.06260570665645689
reliability_greedy,0.2,2,0.3313933540103651,0.8070922545927023,0.7124207491559243,1.6539001381517142,0.050247367515216315
oracle,0.2,2,0.3603650604087211,1.0,0.7354737939344497,1.5599702514664722,0.0631146832324341
