seed,step,rl_expected_reward,rl_normalized_score
1,1.0,0.11512579060567023,0.06611142596487685
1,250.0,0.20207370016421722,0.7914022210206775
1,500.0,0.22333712902891967,0.9687747341172446
1,750.0,0.22281715329776086,0.964437268002456
1,1000.0,0.22333712902891967,0.9687747341172446
1,1250.0,0.22333712902891967,0.9687747341172446
1,1500.0,0.22333712902891967,0.9687747341172446
1,1750.0,0.22333712902891967,0.9687747341172446
1,2000.0,0.22333712902891967,0.9687747341172446
1,2250.0,0.22333712902891967,0.9687747341172446
1,2500.0,0.22333712902891967,0.9687747341172446
1,2750.0,0.22333712902891967,0.9687747341172446
1,3000.0,0.22333712902891967,0.9687747341172446
1,3250.0,0.22333712902891967,0.9687747341172446
1,3500.0,0.22333712902891967,0.9687747341172446
1,3750.0,0.22333712902891967,0.9687747341172446
1,4000.0,0.22333712902891967,0.9687747341172446
1,4250.0,0.22333712902891967,0.9687747341172446
1,4500.0,0.22333712902891967,0.9687747341172446
1,4750.0,0.22333712902891967,0.9687747341172446
1,5000.0,0.22333712902891967,0.9687747341172446
2,1.0,0.07210405879860488,-0.09272132904453141
2,250.0,0.16571730734318862,0.6806804399100463
2,500.0,0.19758223537455166,0.9439379605090615
2,750.0,0.19758223537455166,0.9439379605090615
2,1000.0,0.19758223537455166,0.9439379605090615
2,1250.0,0.19758223537455166,0.9439379605090615
2,1500.0,0.19758223537455166,0.9439379605090615
2,1750.0,0.19758223537455166,0.9439379605090615
2,2000.0,0.19758223537455166,0.9439379605090615
2,2250.0,0.19758223537455166,0.9439379605090615
2,2500.0,0.19758223537455166,0.9439379605090615
2,2750.0,0.19758223537455166,0.9439379605090615
2,3000.0,0.19758223537455166,0.9439379605090615
2,3250.0,0.19758223537455166,0.9439379605090615
2,3500.0,0.19758223537455166,0.9439379605090615
2,3750.0,0.19758223537455166,0.9439379605090615
2,4000.0,0.19758223537455166,0.9439379605090615
2,4250.0,0.19758223537455166,0.9439379605090615
2,4500.0,0.19758223537455166,0.9439379605090615
2,4750.0,0.19758223537455166,0.9439379605090615
2,5000.0,0.19758223537455166,0.9439379605090615
3,1.0,0.09433383394804698,-0.8315151849953542
3,250.0,0.3149885990722209,0.9292579087571662
3,500.0,0.3117643267510728,0.9035289744791611
3,750.0,0.3193879977492619,0.9643640747847388
3,1000.0,0.3200226407168251,0.9694283763002566
3,1250.0,0.2701358118563704,0.5713432230487799
3,1500.0,0.2701358118563704,0.5713432230487799
3,1750.0,0.27396348860806363,0.601887182669007
3,2000.0,0.27396348860806363,0.601887182669007
3,2250.0,0.27396348860806363,0.601887182669007
3,2500.0,0.27396348860806363,0.601887182669007
3,2750.0,0.27396348860806363,0.601887182669007
3,3000.0,0.2732495481264396,0.5961901056542555
3,3250.0,0.2732495481264396,0.5961901056542555
3,3500.0,0.27396348860806363,0.601887182669007
3,3750.0,0.27396348860806363,0.601887182669007
3,4000.0,0.27396348860806363,0.601887182669007
3,4250.0,0.27396348860806363,0.601887182669007
3,4500.0,0.27396348860806363,0.601887182669007
3,4750.0,0.27396348860806363,0.601887182669007
3,5000.0,0.27396348860806363,0.601887182669007
4,1.0,0.19173685798497042,0.5887315865968008
4,250.0,0.23072189317294675,0.8635402252397935
4,500.0,0.24729736961341753,0.980382087598036
4,750.0,0.24936481057046678,0.994955644660175
4,1000.0,0.24936481057046678,0.994955644660175
4,1250.0,0.24936481057046678,0.994955644660175
4,1500.0,0.25008041533236514,1.0
4,1750.0,0.24936481057046678,0.994955644660175
4,2000.0,0.24936481057046678,0.994955644660175
4,2250.0,0.24801297437531591,0.9854264429378612
4,2500.0,0.24801297437531591,0.9854264429378612
4,2750.0,0.24801297437531591,0.9854264429378612
4,3000.0,0.24801297437531591,0.9854264429378612
4,3250.0,0.24801297437531591,0.9854264429378612
4,3500.0,0.24729736961341753,0.980382087598036
4,3750.0,0.24729736961341753,0.980382087598036
4,4000.0,0.24729736961341753,0.980382087598036
4,4250.0,0.24801297437531591,0.9854264429378612
4,4500.0,0.25008041533236514,1.0
4,4750.0,0.25008041533236514,1.0
4,5000.0,0.25008041533236514,1.0
5,1.0,0.16988252761089373,0.04033200035507267
5,250.0,0.26958020212570943,0.8935398144898092
5,500.0,0.2768703986519425,0.955928959201862
5,750.0,0.2784700569824587,0.9696187568243663
5,1000.0,0.27986839406714537,0.9815856570881408
5,1250.0,0.27986839406714537,0.9815856570881408
5,1500.0,0.2784700569824587,0.9696187568243663
5,1750.0,0.2784700569824587,0.9696187568243663
5,2000.0,0.2784700569824587,0.9696187568243663
5,2250.0,0.24533739086965412,0.6860710234581172
5,2500.0,0.24533739086965412,0.6860710234581172
5,2750.0,0.24533739086965412,0.6860710234581172
5,3000.0,0.24533739086965412,0.6860710234581172
5,3250.0,0.24533739086965412,0.6860710234581172
5,3500.0,0.24533739086965412,0.6860710234581172
5,3750.0,0.24533739086965412,0.6860710234581172
5,4000.0,0.24673572795434073,0.6980379237218912
5,4250.0,0.24673572795434073,0.6980379237218912
5,4500.0,0.24673572795434073,0.6980379237218912
5,4750.0,0.24673572795434073,0.6980379237218912
5,5000.0,0.24624264439723614,0.6938181387972141
