step,mean_reward,policy_loss
1,-1.0,0.0
2,-1.0,0.0
3,-1.0,0.0
4,-0.3423217535018921,-3.9525749683380127
5,0.3188958168029785,0.004452109336853027
6,-1.0,0.0
7,-1.0,0.0
8,-1.0,0.0
9,0.10059995949268341,0.00154215469956398
10,0.3951929807662964,-0.004179269075393677
11,0.2748526334762573,0.4534032344818115
12,0.354215145111084,-0.004721540957689285
13,0.1778072714805603,0.00039449334144592285
14,0.33929502964019775,3.147639751434326
15,0.330602765083313,-7.832183361053467
16,0.2024175524711609,-0.08369231224060059
17,-1.0,0.0
18,-0.34336087107658386,-1.622065782546997
19,-1.0,0.0
20,0.31529438495635986,-0.0014120889827609062
21,0.31904137134552,0.003819018602371216
22,-0.45116209983825684,-2.4584484100341797
23,0.09904806315898895,-0.00038797687739133835
24,0.08931030333042145,-0.032674625515937805
25,0.10049344599246979,-4.62033785879612e-05
26,0.2057846188545227,0.000632015522569418
27,0.3393152058124542,-0.00020999601110816002
28,0.3542174696922302,-0.000496068736538291
29,0.30685892701148987,0.07991629838943481
30,0.20576491951942444,0.00041543389670550823
31,0.339779257774353,0.0003708943258970976
32,0.20579871535301208,-0.0004012398421764374
33,0.3181493282318115,0.004706304520368576
34,0.3134620487689972,-0.0001652736682444811
35,-1.0,0.0
36,0.31525617837905884,-4.7977548092603683e-05
37,0.3188261091709137,-0.0003868606872856617
38,0.0973890870809555,0.00090060755610466
39,0.0989973247051239,9.548710659146309e-05
40,0.08943118155002594,-0.004379555583000183
41,0.10044685006141663,-0.0007633240893483162
42,0.2058338224887848,0.00030757253989577293
43,0.33924001455307007,-6.0356687754392624e-05
44,0.3542855978012085,-0.001339958980679512
45,0.3067728281021118,-0.00028557050973176956
46,0.2058177888393402,0.003899139352142811
47,0.33986660838127136,-0.0019998978823423386
48,0.20574411749839783,-7.954426109790802e-05
49,0.31808584928512573,-0.005064142867922783
50,0.31340834498405457,0.005790628492832184
