alpha,task_id,n,mean_task_score,mean_exec_time_ms,mean_cost_price,mean_reward
0.2,13,41,0.7596748674788126,1145.6999453582414,0.0720358577240155,-0.020263707219274008
0.2,20,41,0.5519819695775102,1142.376615187017,0.07182097550938013,-0.061298048010703765
0.2,21,41,-2.0,0.0,2.0,-1.0
0.2,31,41,-0.00045539765823178176,957.8834125486816,0.49871717050642267,-0.2753409620697014
0.2,36,41,0.558995709186647,110.56152507444708,0.01873454536039113,0.08575535304157181
0.2,40,40,0.8724989667534828,114.3702475219965,0.007752203387098979,0.15686100588881774
0.2,51,41,-2.0,0.0,2.0,-1.0
0.2,61,41,0.562691991649023,1255.3694859946647,0.07935580442078542,-0.0764831938062902
0.5,13,41,0.7523303511666088,103.26160501561513,0.01749759404229506,0.3570902180605953
0.5,20,41,0.5551441857000676,102.90537015112434,0.01743723103275941,0.25856294031854166
0.5,21,41,0.5778876710228804,104.51917941686584,0.006474597470328174,0.2752546188345895
0.5,31,41,0.5477500586974912,102.9940746601035,0.017452261765536825,0.25484949099996684
0.5,36,41,0.558995709186647,103.0369429995374,0.017459525689914126,0.2604643974484127
0.5,40,40,0.33215919667854904,104.2419287532568,0.006457423289509666,0.152426693819194
0.5,51,41,0.7595332948172965,104.38169165646157,0.006466080850068445,0.3660954378179679
0.5,61,41,0.5616159577195238,103.25283049955601,0.01749610722880409,0.2617346421954042
0.8,13,41,0.4573165023835694,1816.645980209839,0.2083649236700815,0.19129610695673338
0.8,20,41,0.4942458439164045,1184.6114631309742,0.07507021723515132,0.261921485372996
0.8,21,41,-2.0,0.0,2.0,-1.0
0.8,31,41,0.5580706850784581,1171.9443155657955,0.07345017860220146,0.31457208078574667
0.8,36,41,0.558995709186647,109.71301258337206,0.018590767260037912,0.43250711263897285
0.8,40,40,0.8724989667534828,120.33987709730863,0.008156824253888419,0.6843338208422778
0.8,51,41,0.15008693642732573,93.58342002513932,0.4448215327252625,0.24125909571624538
0.8,61,41,0.562691991649023,1154.9073598777375,0.07228302466217468,0.3202062523990097
