method,step,value
catp_llm_train_loss,32.0,1.510251
catp_llm_train_loss,33.0,1.775778
catp_llm_train_loss,34.0,1.533046
catp_llm_train_loss,35.0,1.333027
catp_llm_train_loss,36.0,1.315126
catp_llm_train_loss,37.0,1.230998
catp_llm_train_loss,38.0,1.26441
catp_llm_train_loss,39.0,1.169149
catp_llm_train_loss,40.0,1.334983
catp_llm_train_loss,41.0,1.081821
catp_llm_train_loss,42.0,0.966673
catp_llm_train_loss,43.0,1.543558
catp_llm_train_loss,44.0,1.261414
catp_llm_train_loss,45.0,1.187878
catp_llm_train_loss,46.0,1.222373
catp_llm_train_loss,47.0,1.096661
catp_llm_train_loss,48.0,1.030555
catp_llm_train_loss,49.0,1.269216
catp_llm_train_loss,50.0,1.079333
catp_llm_train_loss,51.0,0.807707
catp_llm_train_loss,52.0,0.73997
catp_llm_train_loss,53.0,1.193228
catp_llm_train_loss,54.0,0.965558
catp_llm_train_loss,55.0,0.954104
catp_llm_train_loss,56.0,0.816765
catp_llm_train_loss,57.0,0.504785
catp_llm_train_loss,58.0,0.515103
catp_llm_train_loss,59.0,0.698548
catp_llm_train_loss,60.0,0.415363
catp_llm_train_loss,61.0,0.380974
catp_llm_train_loss,62.0,0.657077
catp_llm_train_loss,63.0,0.482134
catp_llm_train_loss,64.0,0.459259
catp_llm_train_loss,65.0,1.408875
catp_llm_train_loss,66.0,0.791384
catp_llm_train_loss,67.0,0.877532
catp_llm_train_loss,68.0,0.820607
catp_llm_train_loss,69.0,1.559886
catp_llm_train_loss,70.0,1.31811
catp_llm_train_loss,71.0,0.758753
catp_llm_train_loss,72.0,0.914949
catp_llm_train_loss,73.0,0.83502
catp_llm_train_loss,74.0,0.844489
catp_llm_train_loss,75.0,0.765959
catp_llm_train_loss,76.0,0.577021
catp_llm_train_loss,77.0,0.551236
catp_llm_train_loss,78.0,0.66886
catp_llm_train_loss,79.0,0.66151
catp_llm_train_loss,80.0,0.665716
catp_llm_train_loss,81.0,0.789136
catp_llm_train_loss,82.0,0.767592
catp_llm_train_loss,83.0,0.907892
catp_llm_train_loss,84.0,0.91712
catp_llm_train_loss,85.0,1.094894
catp_llm_train_loss,86.0,0.65172
catp_llm_train_loss,87.0,0.380244
catp_llm_train_loss,88.0,0.38916
catp_llm_train_loss,89.0,1.328633
catp_llm_train_loss,90.0,1.262314
catp_llm_train_loss,91.0,1.284193
catp_llm_train_loss,92.0,1.293719
catp_llm_train_loss,93.0,1.276851
catp_llm_train_loss,94.0,1.106528
catp_llm_train_loss,95.0,1.149678
catp_llm_train_loss,96.0,1.173081
catp_llm_train_loss,97.0,1.03527
catp_llm_train_loss,98.0,1.118683
catp_llm_train_loss,99.0,1.185651
catp_llm_train_loss,100.0,1.261682
catp_llm_train_loss,101.0,1.169116
catp_llm_train_loss,102.0,1.37674
catp_llm_train_loss,103.0,1.433066
catp_llm_train_loss,104.0,1.187967
catp_llm_train_loss,105.0,1.234311
catp_llm_train_loss,106.0,1.165102
catp_llm_train_loss,107.0,0.890712
catp_llm_train_loss,108.0,2.282418
catp_llm_train_loss,109.0,1.136387
catp_llm_train_loss,110.0,1.191678
catp_llm_train_loss,111.0,0.890065
catp_llm_train_loss,112.0,0.94177
catp_llm_train_loss,113.0,0.838497
catp_llm_train_loss,114.0,0.804974
catp_llm_train_loss,115.0,0.813543
catp_llm_train_loss,116.0,0.730301
catp_llm_train_loss,117.0,0.67963
catp_llm_train_loss,118.0,0.693508
catp_llm_train_loss,119.0,0.781117
catp_llm_train_loss,120.0,0.981562
catp_llm_train_loss,121.0,0.903711
catp_llm_train_loss,122.0,0.655607
catp_llm_train_loss,123.0,0.808698
catp_llm_train_loss,124.0,0.757365
catp_llm_train_loss,125.0,0.862019
catp_llm_train_loss,126.0,0.838389
