method,task_id,n,valid_rate,mean_task_score,mean_cost_price,mean_exec_time_ms,mean_qop,mean_reward
catp_llm_offline,20,41,1.0,0.48513939613249246,0.23359682669663817,3054.1658564616996,0.03655328990875302,-0.17964530092824285
catp_llm_offline,21,41,0.6097560975609756,-0.5190056733241896,0.8773381185786098,1230.1735311688446,-0.7351620850185865,-0.43094534662925976
catp_llm_offline,31,41,0.4146341463414634,-1.003173323666177,1.2131694207787893,404.5050927807645,-1.1243796733063742,-0.5632560278420231
catp_llm_offline,36,41,1.0,0.4038427762868928,0.12898272821991918,1422.7696087556642,0.08816745253570593,-0.00484693684207963
qwen_baseline,20,41,1.0,0.5519819695775102,0.07082753226128423,1141.548261884509,0.2135259504752614,0.12642239246966205
qwen_baseline,21,41,1.0,0.5112184882164001,0.05996306927053822,1141.57631859256,0.20272592232721534,0.11147007761367494
qwen_baseline,31,41,1.0,0.5580706850784581,0.07109192212938267,1146.557516464373,0.21633713446327832,0.12883362982810043
qwen_baseline,36,41,1.0,0.558995709186647,0.01715325705989744,101.2294858308827,0.26436985624824544,0.2607982774802865
qwen_online_grpo,20,41,1.0,0.5551441857000676,0.017399983081656557,102.68554980507712,0.2622264990456313,0.2586035463286978
qwen_online_grpo,21,41,1.0,0.5778876739304241,0.006445082909383149,104.04271243985106,0.2832597150957283,0.2753170242665353
qwen_online_grpo,31,41,1.0,0.5477500586974912,0.017398143907689005,102.6746958515993,0.25853105756986505,0.2549084878097411
qwen_online_grpo,36,41,1.0,0.558995709186647,0.01741374512120441,102.76676705261556,0.2641401236122449,0.2605143053274597
