policy,condition,seed,task_idx,category,n_available_tools,n_required_tools,n_tool_calls,required_tool_recall,required_tool_hit,all_required_tools_hit,mean_latency_ms,total_latency_ms,timeout_rate,timeout_events,proxy_utility
latency_aware,normal,1,13,Single-Tool,4,2,2,0.5,1.0,0.0,306.38097317114716,612.7619463422943,0.0,0,0.4816171416097312
latency_aware,normal,1,14,Single-Tool,5,1,2,0.0,0.0,0.0,114.73519176919851,229.47038353839702,0.0,0,-0.00688411150615191
latency_aware,normal,1,15,Single-Tool,4,4,2,0.5,1.0,0.0,195.5272245956067,391.0544491912134,0.0,0,0.4882683665242636
latency_aware,normal,1,16,Single-Tool,5,1,2,1.0,1.0,1.0,280.23475709978925,560.4695141995785,0.0,0,0.9831859145740126
latency_aware,normal,1,17,Single-Tool,5,3,2,0.3333333333333333,1.0,0.0,123.40154546811038,246.80309093622077,0.0,0,0.3259292406052467
latency_aware,normal,1,18,Single-Tool,7,2,2,1.0,1.0,1.0,231.51314308810834,463.0262861762167,0.0,0,0.9861092114147135
latency_aware,normal,1,19,Single-Tool,5,5,2,0.4,1.0,0.0,175.32252526013312,350.64505052026624,0.0,0,0.389480648484392
latency_aware,normal,1,20,Single-Tool,5,3,2,0.3333333333333333,1.0,0.0,535.0035120414794,1070.0070240829589,0.0,0,0.30123312261084456
latency_aware,normal,1,21,Single-Tool,3,1,2,1.0,1.0,1.0,692.0566253593706,1384.1132507187413,0.0,0,0.9584766024784378
latency_aware,normal,1,22,Single-Tool,4,3,2,0.6666666666666666,1.0,0.0,172.7604425695742,345.5208851391484,0.0,0,0.6563010401124921
latency_aware,normal,1,23,Single-Tool,4,1,2,0.0,0.0,0.0,236.35689827995878,472.71379655991757,0.0,0,-0.014181413896797527
latency_aware,normal,1,24,Single-Tool,6,2,2,0.0,0.0,0.0,137.32545007611486,274.6509001522297,0.0,0,-0.00823952700456689
latency_aware,normal,1,25,Single-Tool,7,5,2,0.4,1.0,0.0,118.57797609443674,237.15595218887347,0.0,0,0.3928853214343338
latency_aware,normal,1,26,Single-Tool,3,3,2,0.6666666666666666,1.0,0.0,183.37783178535102,366.75566357070204,0.0,0,0.6556639967595456
latency_aware,normal,1,27,Single-Tool,4,3,2,0.3333333333333333,1.0,0.0,137.89102383342225,275.7820476668445,0.0,0,0.32505987190332797
latency_aware,normal,1,28,Single-Tool,6,5,2,0.4,1.0,0.0,262.8657280270884,525.7314560541768,0.0,0,0.3842280563183747
latency_aware,normal,1,29,Single-Tool,5,4,2,0.5,1.0,0.0,105.18962836611306,210.3792567322261,0.0,0,0.49368862229803323
latency_aware,normal,1,30,Single-Tool,5,1,2,0.0,0.0,0.0,305.9581690843582,611.9163381687164,0.0,0,-0.01835749014506149
latency_aware,normal,1,31,Single-Tool,6,4,2,0.25,1.0,0.0,147.15668922049275,294.3133784409855,0.0,0,0.24117059864677043
slow,normal,1,0,Single-Tool,8,4,2,0.25,1.0,0.0,1222.1258463337417,2444.2516926674834,0.0,0,0.1766724492199755
slow,normal,1,1,Single-Tool,4,2,2,0.0,0.0,0.0,983.625218482807,1967.250436965614,0.0,0,-0.05901751310896842
slow,normal,1,2,Single-Tool,4,4,2,0.5,1.0,0.0,1583.4380106653011,3166.8760213306023,0.0,0,0.40499371936008194
slow,normal,1,3,Single-Tool,3,2,2,0.5,1.0,0.0,1286.0026178643022,2572.0052357286045,0.0,0,0.42283984292814186
slow,normal,1,4,Single-Tool,5,5,2,0.4,1.0,0.0,923.2533544618334,1846.5067089236668,0.0,0,0.34460479873229
slow,normal,1,5,Single-Tool,6,3,2,0.0,0.0,0.0,911.8006998988636,1823.6013997977273,0.0,0,-0.05470804199393181
slow,normal,1,6,Single-Tool,7,2,2,0.0,0.0,0.0,1450.488185795457,2900.976371590914,0.0,0,-0.08702929114772742
slow,normal,1,7,Single-Tool,4,2,2,0.5,1.0,0.0,1188.000944270678,2376.001888541356,0.0,0,0.4287199433437593
slow,normal,1,8,Single-Tool,3,2,2,0.5,1.0,0.0,1192.063597035496,2384.127194070992,0.0,0,0.42847618417787026
slow,normal,1,9,Single-Tool,10,3,2,0.0,0.0,0.0,1046.809432343251,2093.618864686502,0.0,0,-0.06280856594059506
slow,normal,1,10,Single-Tool,5,2,2,0.0,0.0,0.0,925.5867295069081,1851.1734590138162,0.0,0,-0.05553520377041449
slow,normal,1,11,Single-Tool,7,2,2,0.0,0.0,0.0,1829.6788797337113,3659.3577594674225,0.0,0,-0.10978073278402267
slow,normal,1,12,Single-Tool,9,6,2,0.3333333333333333,1.0,0.0,797.0163059340131,1594.0326118680262,0.0,0,0.28551235497729255
slow,normal,1,13,Single-Tool,4,2,2,0.5,1.0,0.0,651.1007027296569,1302.2014054593137,0.0,0,0.4609339578362206
slow,normal,1,14,Single-Tool,5,1,2,1.0,1.0,1.0,133.18374780285484,266.3674956057097,0.0,0,0.9920089751318287
slow,normal,1,15,Single-Tool,4,4,2,0.5,1.0,0.0,576.3661798869565,1152.732359773913,0.0,0,0.4654180292067826
slow,normal,1,16,Single-Tool,5,1,2,0.0,0.0,0.0,829.2915477823899,1658.5830955647798,0.0,0,-0.04975749286694339
slow,normal,1,17,Single-Tool,5,3,2,0.6666666666666666,1.0,0.0,132.32960511134866,264.6592102226973,0.0,0,0.6587268903599857
slow,normal,1,18,Single-Tool,7,2,2,0.0,0.0,0.0,1215.5160832678773,2431.0321665357546,0.0,0,-0.07293096499607264
slow,normal,1,19,Single-Tool,5,5,2,0.4,1.0,0.0,981.0912127660084,1962.1824255320169,0.0,0,0.34113452723403953
slow,normal,1,20,Single-Tool,5,3,2,0.6666666666666666,1.0,0.0,882.5870944017087,1765.1741888034173,0.0,0,0.6137114410025641
slow,normal,1,21,Single-Tool,3,1,2,0.0,0.0,0.0,1330.8078412759812,2661.6156825519624,0.0,0,-0.07984847047655887
slow,normal,1,22,Single-Tool,4,3,2,0.3333333333333333,1.0,0.0,295.7117721585516,591.4235443171032,0.0,0,0.31559062700382023
slow,normal,1,23,Single-Tool,4,1,2,1.0,1.0,1.0,1094.3053411742349,2188.6106823484697,0.0,0,0.9343416795295459
slow,normal,1,24,Single-Tool,6,2,2,0.5,1.0,0.0,466.4501815572189,932.9003631144378,0.0,0,0.47201298910656686
slow,normal,1,25,Single-Tool,7,5,2,0.2,1.0,0.0,1043.493287230025,2086.98657446005,0.0,0,0.13739040276619852
slow,normal,1,26,Single-Tool,3,3,2,0.6666666666666666,1.0,0.0,289.7954661568616,579.5909323137232,0.0,0,0.649278938697255
slow,normal,1,27,Single-Tool,4,3,2,0.6666666666666666,1.0,0.0,1035.7508372122463,2071.5016744244926,0.0,0,0.6045216164339319
slow,normal,1,28,Single-Tool,6,5,2,0.2,1.0,0.0,1797.4466676786315,3594.893335357263,0.0,0,0.09215319993928213
slow,normal,1,29,Single-Tool,5,4,2,0.25,1.0,0.0,1533.57422793962,3067.14845587924,0.0,0,0.1579855463236228
slow,normal,1,30,Single-Tool,5,1,2,1.0,1.0,1.0,1133.25159577345,2266.5031915469,0.0,0,0.932004904253593
slow,normal,1,31,Single-Tool,6,4,2,0.5,1.0,0.0,1117.4275554113005,2234.855110822601,0.0,0,0.43295434667532195
gold_oracle,normal,1,0,Single-Tool,8,4,2,0.5,1.0,0.0,208.0966071633067,416.1932143266134,0.0,0,0.4875142035702016
gold_oracle,normal,1,1,Single-Tool,4,2,2,1.0,1.0,1.0,262.0140718636824,524.0281437273647,0.0,0,0.984279155688179
gold_oracle,normal,1,2,Single-Tool,4,4,2,0.5,1.0,0.0,721.9362757137363,1443.8725514274727,0.0,0,0.45668382345717584
gold_oracle,normal,1,3,Single-Tool,3,2,2,1.0,1.0,1.0,515.7389939175268,1031.4779878350537,0.0,0,0.9690556603649484
gold_oracle,normal,1,4,Single-Tool,5,5,2,0.4,1.0,0.0,289.2147075392402,578.4294150784804,0.0,0,0.38264711754764563
gold_oracle,normal,1,5,Single-Tool,6,3,2,0.6666666666666666,1.0,0.0,125.0617460951164,250.1234921902328,0.0,0,0.6591629619009597
gold_oracle,normal,1,6,Single-Tool,7,2,2,1.0,1.0,1.0,176.0595046597025,352.119009319405,0.0,0,0.9894364297204179
gold_oracle,normal,1,7,Single-Tool,4,2,2,1.0,1.0,1.0,1119.366890110542,2238.733780221084,0.0,0,0.9328379865933675
gold_oracle,normal,1,8,Single-Tool,3,2,2,1.0,1.0,1.0,419.45823006237896,838.9164601247579,0.0,0,0.9748325061962573
gold_oracle,normal,1,9,Single-Tool,10,3,2,0.6666666666666666,1.0,0.0,111.87727128244376,223.75454256488752,0.0,0,0.65995403038972
gold_oracle,normal,1,10,Single-Tool,5,2,2,1.0,1.0,1.0,381.44395184307723,762.8879036861545,0.0,0,0.9771133628894154
gold_oracle,normal,1,11,Single-Tool,7,2,2,1.0,1.0,1.0,111.50318168616417,223.00636337232834,0.0,0,0.9933098090988302
gold_oracle,normal,1,12,Single-Tool,9,6,2,0.3333333333333333,1.0,0.0,143.58590446769264,287.1718089353853,0.0,0,0.3247181790652718
gold_oracle,normal,1,13,Single-Tool,4,2,2,1.0,1.0,1.0,516.5330327155365,1033.066065431073,0.0,0,0.9690080180370678
gold_oracle,normal,1,14,Single-Tool,5,1,2,1.0,1.0,1.0,113.60789536231684,227.21579072463368,0.0,0,0.993183526278261
gold_oracle,normal,1,15,Single-Tool,4,4,2,0.5,1.0,0.0,220.5091888057916,441.0183776115832,0.0,0,0.4867694486716525
gold_oracle,normal,1,16,Single-Tool,5,1,2,1.0,1.0,1.0,271.2109230000078,542.4218460000156,0.0,0,0.9837273446199996
gold_oracle,normal,1,17,Single-Tool,5,3,2,0.6666666666666666,1.0,0.0,119.80417292639464,239.60834585278928,0.0,0,0.659478416291083
gold_oracle,normal,1,18,Single-Tool,7,2,2,1.0,1.0,1.0,131.48186148737219,262.96372297474437,0.0,0,0.9921110883107577
gold_oracle,normal,1,19,Single-Tool,5,5,2,0.4,1.0,0.0,151.06953286474868,302.13906572949736,0.0,0,0.3909358280281151
gold_oracle,normal,1,20,Single-Tool,5,3,2,0.6666666666666666,1.0,0.0,661.3819986299244,1322.7639972598488,0.0,0,0.6269837467488711
gold_oracle,normal,1,21,Single-Tool,3,1,2,1.0,1.0,1.0,690.4443074184758,1380.8886148369515,0.0,0,0.9585733415548915
gold_oracle,normal,1,22,Single-Tool,4,3,2,0.6666666666666666,1.0,0.0,163.95483256697526,327.9096651339505,0.0,0,0.6568293767126481
gold_oracle,normal,1,23,Single-Tool,4,1,2,1.0,1.0,1.0,324.8577251149487,649.7154502298974,0.0,0,0.9805085364931031
gold_oracle,normal,1,24,Single-Tool,6,2,2,1.0,1.0,1.0,657.2060296357795,1314.412059271559,0.0,0,0.9605676382218532
gold_oracle,normal,1,25,Single-Tool,7,5,2,0.4,1.0,0.0,119.04680387610955,238.0936077522191,0.0,0,0.39285719176743344
gold_oracle,normal,1,26,Single-Tool,3,3,2,0.6666666666666666,1.0,0.0,185.98399749746167,371.96799499492334,0.0,0,0.655507626816819
gold_oracle,normal,1,27,Single-Tool,4,3,2,0.6666666666666666,1.0,0.0,521.2584279746613,1042.5168559493227,0.0,0,0.6353911609881869
gold_oracle,normal,1,28,Single-Tool,6,5,2,0.4,1.0,0.0,275.63188979596714,551.2637795919343,0.0,0,0.383462086612242
gold_oracle,normal,1,29,Single-Tool,5,4,2,0.5,1.0,0.0,142.72127210574064,285.4425442114813,0.0,0,0.49143672367365554
gold_oracle,normal,1,30,Single-Tool,5,1,2,1.0,1.0,1.0,650.3874090065833,1300.7748180131666,0.0,0,0.960976755459605
gold_oracle,normal,1,31,Single-Tool,6,4,2,0.5,1.0,0.0,371.71807752151364,743.4361550430273,0.0,0,0.4776969153487092
qwen_no_latency,normal,1,0,Single-Tool,8,4,2,0.5,1.0,0.0,1070.730005203686,2141.460010407372,0.0,0,0.43575619968777884
qwen_no_latency,normal,1,1,Single-Tool,4,2,2,1.0,1.0,1.0,273.3741845499344,546.7483690998688,0.0,0,0.9835975489270039
qwen_no_latency,normal,1,2,Single-Tool,4,4,2,0.5,1.0,0.0,1731.9442071910153,3463.8884143820305,0.0,0,0.3960833475685391
qwen_no_latency,normal,1,3,Single-Tool,3,2,2,1.0,1.0,1.0,634.5635049226995,1269.127009845399,0.0,0,0.9619261897046381
qwen_no_latency,normal,1,4,Single-Tool,5,5,2,0.4,1.0,0.0,524.3255798657536,1048.6511597315073,0.0,0,0.3685404652080548
qwen_no_latency,normal,1,5,Single-Tool,6,3,2,0.6666666666666666,1.0,0.0,201.6658097951841,403.3316195903682,0.0,0,0.6545667180789556
qwen_no_latency,normal,1,6,Single-Tool,7,2,2,1.0,1.0,1.0,188.47555400875302,376.95110801750604,0.0,0,0.9886914667594748
qwen_no_latency,normal,1,7,Single-Tool,4,2,2,0.5,1.0,0.0,1200.2763967509081,2400.5527935018163,0.0,0,0.4279834161949455
qwen_no_latency,normal,1,8,Single-Tool,3,2,2,1.0,1.0,1.0,544.0880590653868,1088.1761181307736,0.0,0,0.9673547164560767
qwen_no_latency,normal,1,9,Single-Tool,10,3,2,0.6666666666666666,1.0,0.0,109.730841889611,219.461683779222,0.0,0,0.66008281615329
qwen_no_latency,normal,1,10,Single-Tool,5,2,2,0.5,1.0,0.0,530.8190186280983,1061.6380372561966,0.0,0,0.4681508588823141
qwen_no_latency,normal,1,11,Single-Tool,7,2,2,1.0,1.0,1.0,99.3188870155561,198.6377740311122,0.0,0,0.9940408667790667
qwen_no_latency,normal,1,12,Single-Tool,9,6,2,0.3333333333333333,1.0,0.0,606.9858380704397,1213.9716761408795,0.0,0,0.29691418304910694
qwen_no_latency,normal,1,13,Single-Tool,4,2,2,0.5,1.0,0.0,267.4347635559344,534.8695271118688,0.0,0,0.4839539141866439
qwen_no_latency,normal,1,14,Single-Tool,5,1,1,1.0,1.0,1.0,124.70305293175522,124.70305293175522,0.0,0,0.9962589084120473
qwen_no_latency,normal,1,15,Single-Tool,4,4,2,0.5,1.0,0.0,182.42255938446016,364.8451187689203,0.0,0,0.4890546464369324
qwen_no_latency,normal,1,16,Single-Tool,5,1,2,1.0,1.0,1.0,274.45038505526963,548.9007701105393,0.0,0,0.9835329768966838
qwen_no_latency,normal,1,17,Single-Tool,5,3,2,0.6666666666666666,1.0,0.0,126.76145126156979,253.52290252313958,0.0,0,0.6590609795909724
qwen_no_latency,normal,1,18,Single-Tool,7,2,2,1.0,1.0,1.0,204.64238703711635,409.2847740742327,0.0,0,0.987721456777773
qwen_no_latency,normal,1,19,Single-Tool,5,5,2,0.4,1.0,0.0,968.1463576573465,1936.292715314693,0.0,0,0.3419112185405592
qwen_no_latency,normal,1,20,Single-Tool,5,3,2,0.6666666666666666,1.0,0.0,794.7852424856496,1589.5704849712993,0.0,0,0.6189795521175276
qwen_no_latency,normal,1,21,Single-Tool,3,1,2,1.0,1.0,1.0,1061.1809297690845,2122.361859538169,0.0,0,0.9363291442138549
qwen_no_latency,normal,1,22,Single-Tool,4,3,2,0.6666666666666666,1.0,0.0,157.11003374636744,314.22006749273487,0.0,0,0.6572400646418846
qwen_no_latency,normal,1,23,Single-Tool,4,1,2,1.0,1.0,1.0,911.7074372806885,1823.414874561377,0.0,0,0.9452975537631587
qwen_no_latency,normal,1,24,Single-Tool,6,2,2,1.0,1.0,1.0,598.5823269643971,1197.1646539287942,0.0,0,0.9640850603821361
qwen_no_latency,normal,1,25,Single-Tool,7,5,2,0.4,1.0,0.0,444.59338494333247,889.1867698866649,0.0,0,0.3733243969034001
qwen_no_latency,normal,1,26,Single-Tool,3,3,2,0.6666666666666666,1.0,0.0,205.3390771905757,410.6781543811514,0.0,0,0.6543463220352321
qwen_no_latency,normal,1,27,Single-Tool,4,3,2,0.6666666666666666,1.0,0.0,859.2197699085541,1718.4395398171082,0.0,0,0.6151134804721534
qwen_no_latency,normal,1,28,Single-Tool,6,5,2,0.4,1.0,0.0,358.53299888775905,717.0659977755181,0.0,0,0.3784880200667345
qwen_no_latency,normal,1,29,Single-Tool,5,4,2,0.5,1.0,0.0,198.64708194927758,397.29416389855515,0.0,0,0.48808117508304333
qwen_no_latency,normal,1,30,Single-Tool,5,1,2,1.0,1.0,1.0,919.5328572087094,1839.0657144174188,0.0,0,0.9448280285674775
qwen_no_latency,normal,1,31,Single-Tool,6,4,2,0.25,1.0,0.0,322.45193321012596,644.9038664202519,0.0,0,0.23065288400739245
qwen_latency,normal,1,0,Single-Tool,8,4,2,0.5,1.0,0.0,800.435918728517,1600.871837457034,0.0,0,0.451973844876289
qwen_latency,normal,1,1,Single-Tool,4,2,2,1.0,1.0,1.0,198.45163841557888,396.90327683115777,0.0,0,0.9880929016950653
qwen_latency,normal,1,2,Single-Tool,4,4,2,0.5,1.0,0.0,718.1117641218818,1436.2235282437637,0.0,0,0.4569132941526871
qwen_latency,normal,1,3,Single-Tool,3,2,2,1.0,1.0,1.0,468.26120910289995,936.5224182057999,0.0,0,0.971904327453826
qwen_latency,normal,1,4,Single-Tool,5,5,2,0.4,1.0,0.0,503.72198837997314,1007.4439767599463,0.0,0,0.36977668069720165
qwen_latency,normal,1,5,Single-Tool,6,3,2,0.6666666666666666,1.0,0.0,187.15561766995097,374.31123533990194,0.0,0,0.6554373296064696
qwen_latency,normal,1,6,Single-Tool,7,2,2,1.0,1.0,1.0,205.00112066063298,410.00224132126596,0.0,0,0.987699932760362
qwen_latency,normal,1,7,Single-Tool,4,2,2,1.0,1.0,1.0,675.8297217082893,1351.6594434165786,0.0,0,0.9594502166975026
qwen_latency,normal,1,8,Single-Tool,3,2,2,1.0,1.0,1.0,539.8070275022059,1079.6140550044117,0.0,0,0.9676115783498677
qwen_latency,normal,1,9,Single-Tool,10,3,2,0.6666666666666666,1.0,0.0,89.14837958728364,178.29675917456728,0.0,0,0.6613177638914296
qwen_latency,normal,1,10,Single-Tool,5,2,2,0.5,1.0,0.0,657.8903910950144,1315.7807821900287,0.0,0,0.4605265765342991
qwen_latency,normal,1,11,Single-Tool,7,2,2,0.5,1.0,0.0,461.5841594141194,923.1683188282389,0.0,0,0.47230495043515286
qwen_latency,normal,1,12,Single-Tool,9,6,2,0.3333333333333333,1.0,0.0,427.38311249150684,854.7662249830137,0.0,0,0.3076903465838429
qwen_latency,normal,1,13,Single-Tool,4,2,2,0.5,1.0,0.0,285.2145369460542,570.4290738921084,0.0,0,0.4828871277832367
qwen_latency,normal,1,14,Single-Tool,5,1,1,1.0,1.0,1.0,115.5474299656758,115.5474299656758,0.0,0,0.9965335771010297
qwen_latency,normal,1,15,Single-Tool,4,4,2,0.5,1.0,0.0,183.6558772447499,367.3117544894998,0.0,0,0.488980647365315
qwen_latency,normal,1,16,Single-Tool,5,1,1,1.0,1.0,1.0,231.78133201883955,231.78133201883955,0.0,0,0.9930465600394348
qwen_latency,normal,1,17,Single-Tool,5,3,1,0.3333333333333333,1.0,0.0,110.77934353710376,110.77934353710376,0.0,0,0.3300099530272202
qwen_latency,normal,1,18,Single-Tool,7,2,2,1.0,1.0,1.0,180.8258017586274,361.6516035172548,0.0,0,0.9891504518944824
qwen_latency,normal,1,19,Single-Tool,5,5,2,0.4,1.0,0.0,347.05810213125005,694.1162042625001,0.0,0,0.37917651387212503
qwen_latency,normal,1,20,Single-Tool,5,3,2,0.6666666666666666,1.0,0.0,609.4699179261536,1218.9398358523072,0.0,0,0.6300984715910974
qwen_latency,normal,1,21,Single-Tool,3,1,1,1.0,1.0,1.0,589.571504639978,589.571504639978,0.0,0,0.9823128548608007
qwen_latency,normal,1,22,Single-Tool,4,3,2,0.6666666666666666,1.0,0.0,200.19337696683374,400.3867539336675,0.0,0,0.6546550640486566
qwen_latency,normal,1,23,Single-Tool,4,1,2,1.0,1.0,1.0,854.0871497512231,1708.1742995024463,0.0,0,0.9487547710149267
qwen_latency,normal,1,24,Single-Tool,6,2,2,1.0,1.0,1.0,530.7272935529503,1061.4545871059006,0.0,0,0.968156362386823
qwen_latency,normal,1,25,Single-Tool,7,5,2,0.4,1.0,0.0,550.1403249959226,1100.2806499918452,0.0,0,0.36699158050024466
qwen_latency,normal,1,26,Single-Tool,3,3,2,0.6666666666666666,1.0,0.0,206.9241449546528,413.8482899093056,0.0,0,0.6542512179693875
qwen_latency,normal,1,27,Single-Tool,4,3,2,0.6666666666666666,1.0,0.0,952.4446331391964,1904.8892662783928,0.0,0,0.6095199886783148
qwen_latency,normal,1,28,Single-Tool,6,5,2,0.4,1.0,0.0,307.6758070769997,615.3516141539994,0.0,0,0.38153945157538005
qwen_latency,normal,1,29,Single-Tool,5,4,2,0.5,1.0,0.0,186.72783373575066,373.45566747150133,0.0,0,0.488796329975855
qwen_latency,normal,1,30,Single-Tool,5,1,2,1.0,1.0,1.0,1020.440116533502,2040.880233067004,0.0,0,0.9387735930079899
qwen_latency,normal,1,31,Single-Tool,6,4,2,0.25,1.0,0.0,258.0778243821281,516.1556487642562,0.0,0,0.23451533053707233
random,degraded_2x,1,0,Single-Tool,8,4,2,0.25,1.0,0.0,673.4433303264296,1346.8866606528593,0.0,0,0.20959340018041422
random,degraded_2x,1,1,Single-Tool,4,2,2,0.5,1.0,0.0,1032.8580256132414,2065.7160512264827,0.0,0,0.4380285184632055
random,degraded_2x,1,2,Single-Tool,4,4,2,0.5,1.0,0.0,1789.7452404683122,3579.4904809366244,0.0,0,0.3926152855719013
random,degraded_2x,1,3,Single-Tool,3,2,2,1.0,1.0,1.0,998.0930857055645,1996.186171411129,0.0,0,0.9401144148576661
