seed,step,expected_reward,normalized_score,success_prob,latency_s,timeout_prob
1,0.0,0.053075262815766314,-0.451493618973751,0.5289251116593798,1.1913697325529322,0.11843892907773387
1,25.0,0.1785501009411084,0.5951761119661043,0.6790726242907497,1.3441040929478452,0.0972912954652877
1,50.0,0.2033959679119069,0.8024321426239418,0.7199948602816038,1.4608001167222893,0.07835885735301024
1,75.0,0.2033959679119069,0.8024321426239418,0.7199948602816038,1.4608001167222893,0.07835885735301024
1,100.0,0.2033959679119069,0.8024321426239418,0.7199948602816038,1.4608001167222893,0.07835885735301024
1,125.0,0.2033959679119069,0.8024321426239418,0.7199948602816038,1.4608001167222893,0.07835885735301024
1,150.0,0.2033959679119069,0.8024321426239418,0.7199948602816038,1.4608001167222893,0.07835885735301024
1,175.0,0.2033959679119069,0.8024321426239418,0.7199948602816038,1.4608001167222893,0.07835885735301024
1,200.0,0.2033959679119069,0.8024321426239418,0.7199948602816038,1.4608001167222893,0.07835885735301024
1,225.0,0.2033959679119069,0.8024321426239418,0.7199948602816038,1.4608001167222893,0.07835885735301024
1,250.0,0.2033959679119069,0.8024321426239418,0.7199948602816038,1.4608001167222893,0.07835885735301024
1,275.0,0.2033959679119069,0.8024321426239418,0.7199948602816038,1.4608001167222893,0.07835885735301024
1,300.0,0.2033959679119069,0.8024321426239418,0.7199948602816038,1.4608001167222893,0.07835885735301024
