policy,condition,seed,n_tasks,mean_required_tool_recall,required_tool_hit_rate,all_required_tools_hit_rate,mean_tool_calls,mean_latency_ms,mean_total_latency_ms,timeout_rate,mean_proxy_utility
random,normal,1,3,0.25,0.6666666666666666,0.0,2.0,884.235373773487,1768.470747546974,0.0,0.1969458775735908
latency_aware,normal,1,3,0.5833333333333334,1.0,0.3333333333333333,2.0,387.0252166020402,774.0504332040804,0.0,0.560111820337211
slow,normal,1,3,0.25,0.6666666666666666,0.0,2.0,1263.0630251606165,2526.126050321233,0.0,0.17421621849036298
gold_oracle,normal,1,3,0.6666666666666666,1.0,0.3333333333333333,2.0,397.3489849135751,794.6979698271502,0.0,0.6428257275718522
qwen_no_latency,normal,1,3,0.6666666666666666,1.0,0.3333333333333333,2.0,1025.349465648212,2050.698931296424,0.0,0.605145698727774
qwen_latency,normal,1,3,0.6666666666666666,1.0,0.3333333333333333,2.0,572.3331070886592,1144.6662141773184,0.0,0.6323266802413471
