policy,w_latency,seed,expected_reward,normalized_score,success_prob,latency_s,timeout_prob
random,0.0,1,0.4895464393539334,0.0,0.594412120282597,1.2744869698788976,0.10486568092866361
latency_greedy,0.0,1,0.3054423615400844,-1.1322697395799077,0.4487494404535776,0.9619313496143533,0.14330707891349326
quality_greedy,0.0,1,0.6514995888089725,0.9960379614351429,0.7339368143443794,1.4147305759814748,0.08243722553540692
reliability_greedy,0.0,1,0.6281264843258066,0.8522896032206817,0.69057768551682,1.482919995015646,0.06245120119101329
oracle,0.0,1,0.6521438058455565,1.0,0.7340139159818186,1.4223035476630899,0.081870110136262
grpo_rl,0.0,1,0.6514995888089725,0.9960379614351429,0.7339368143443794,1.4147305759814748,0.08243722553540692
random,0.0,2,0.46388814606363454,0.0,0.5913884195984218,1.2685367128810068,0.12750027353478732
latency_greedy,0.0,2,0.34213065371241225,-0.5679747078975101,0.536293951115179,0.9645489001864738,0.1941632974027668
quality_greedy,0.0,2,0.6782594739735266,1.0,0.7408651806299836,1.6013040191565664,0.06260570665645689
reliability_greedy,0.0,2,0.662173381640708,0.9249615492442156,0.7124207491559243,1.6539001381517142,0.050247367515216315
oracle,0.0,2,0.6782594739735266,1.0,0.7408651806299836,1.6013040191565664,0.06260570665645689
grpo_rl,0.0,2,0.6782594739735266,1.0,0.7408651806299836,1.6013040191565664,0.06260570665645689
random,0.0,3,0.6063783180038133,0.0,0.7041555621015494,1.359471709776106,0.0977772440977362
latency_greedy,0.0,3,0.32957255652656736,-1.4238110658280059,0.5055426931251031,0.7917315896249929,0.17597013659853578
quality_greedy,0.0,3,0.7655289435146326,0.8186261027459888,0.839361366641743,1.796080704297156,0.07383242312711051
reliability_greedy,0.0,3,0.8007445608292156,0.9997653440496393,0.8245492252088521,1.6752822561105427,0.023804664379636523
oracle,0.0,3,0.8007901807296249,1.0,0.8246784644532282,1.6754227665156516,0.023888283723603323
grpo_rl,0.0,3,0.7923228669186786,0.9564465167288264,0.8465886363928121,1.7548040968040621,0.05426576947413344
random,0.0,4,0.4932043055968717,0.0,0.6051247058042809,1.2832879031215205,0.11192040020740918
latency_greedy,0.0,4,0.2953550475928807,-0.9047218510617818,0.4702189241854928,0.8952756326031169,0.1748638765926121
quality_greedy,0.0,4,0.7097004620280605,0.9899900832088802,0.7997027648441591,1.5413436413821435,0.09000230281609858
reliability_greedy,0.0,4,0.5872383854020595,0.4299975021514853,0.6417975305722976,1.5048809474530056,0.05455914517023809
oracle,0.0,4,0.7118894824518299,1.0,0.8003545622921968,1.5393635570648827,0.08846507984036686
grpo_rl,0.0,4,0.7097004620280605,0.9899900832088802,0.7997027648441591,1.5413436413821435,0.09000230281609858
random,0.0,5,0.6058219828323004,0.0,0.6843655016864029,1.4688408853426331,0.07854351885410245
latency_greedy,0.0,5,0.383966080525182,-1.3886436806327553,0.5066207469431785,1.1108803597081112,0.12265466641799652
quality_greedy,0.0,5,0.7522131819221647,0.9162939160166265,0.809254064890463,1.5744826261833977,0.057040882968298345
reliability_greedy,0.0,5,0.7589100346731169,0.9582109538597955,0.7843444870431935,1.642772549721364,0.025434452370076736
oracle,0.0,5,0.7655864388992639,1.0,0.8047029242751108,1.7258875426237044,0.03911648537584687
grpo_rl,0.0,5,0.7655864388992639,1.0,0.8047029242751108,1.7258875426237044,0.03911648537584687
random,0.1,1,0.3620977423660437,0.0,0.594412120282597,1.2744869698788976,0.10486568092866361
latency_greedy,0.1,1,0.20924922657864903,-1.0332574002736923,0.4487494404535776,0.9619313496143533,0.14330707891349326
quality_greedy,0.1,1,0.510026531210825,1.0,0.7339368143443794,1.4147305759814748,0.08243722553540692
reliability_greedy,0.1,1,0.479834484824242,0.7959014832585233,0.69057768551682,1.482919995015646,0.06245120119101329
oracle,0.1,1,0.510026531210825,1.0,0.7339368143443794,1.4147305759814748,0.08243722553540692
grpo_rl,0.1,1,0.5097138560638256,0.9978863130737352,0.7336313835085189,1.4139962929386964,0.08251789815082361
random,0.1,2,0.33703447477553383,0.0,0.5913884195984218,1.2685367128810068,0.12750027353478732
latency_greedy,0.1,2,0.24567576369376487,-0.5044805999338339,0.536293951115179,0.9645489001864738,0.1941632974027668
quality_greedy,0.1,2,0.51812907205787,1.0,0.7408651806299836,1.6013040191565664,0.06260570665645689
reliability_greedy,0.1,2,0.49678336782553656,0.8821295358742575,0.7124207491559243,1.6539001381517142,0.050247367515216315
